#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Nov 02 14:26:53 EDT 2019,35,35,Assignment4Suite,ContainsTest2+ EmptyTest0+ FindMinMaxTest0+ HeightTest+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ InsertTest4+ SizeTest0+ SizeTest1+ , ,ContainsTest0- ContainsTest1- EmptyTest1- EmptyTest2- FindMinMaxTest1- FindMinMaxTest2- InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest5- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6- RemoveTest7- SizeTest2- SizeTest3- , ,
1,Sat Nov 02 14:32:54 EDT 2019,6,-29,Assignment4Suite,EmptyTest0 SizeTest0 , ,ContainsTest0 ContainsTest1 ContainsTest2- EmptyTest1 EmptyTest2 FindMinMaxTest0- FindMinMaxTest1 FindMinMaxTest2 HeightTest- InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0- InsertTest1- InsertTest2- InsertTest3- InsertTest4- InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1- SizeTest2 SizeTest3 , ,
2,Sat Nov 02 14:33:30 EDT 2019,6,0,Assignment4Suite,EmptyTest0 SizeTest0 , ,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 SizeTest3 , ,
3,Sat Nov 02 14:34:17 EDT 2019,35,29,Assignment4Suite,ContainsTest2+ EmptyTest0 FindMinMaxTest0+ HeightTest+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ InsertTest4+ SizeTest0 SizeTest1+ , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 SizeTest3 , ,
4,Sat Nov 02 17:55:02 EDT 2019,64,29,Assignment4Suite,ContainsTest0+ ContainsTest1+ ContainsTest2 EmptyTest0 EmptyTest2+ FindMinMaxTest0 FindMinMaxTest1+ HeightTest InsertAfterRemoveTest0+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0+ RemoveTest3+ RemoveTest4+ RemoveTest7+ SizeTest0 SizeTest1 , ,EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest5 RemoveTest6 SizeTest2 SizeTest3 , ,
5,Sat Nov 02 17:57:37 EDT 2019,41,-23,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 SizeTest0 SizeTest1 , ,ContainsTest1- EmptyTest1 EmptyTest2- FindMinMaxTest2 InsertAfterRemoveTest0- InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0- RemoveTest1 RemoveTest2 RemoveTest3- RemoveTest4- RemoveTest5 RemoveTest6 RemoveTest7- SizeTest2 SizeTest3 , ,
6,Sat Nov 02 17:57:51 EDT 2019,67,26,Assignment4Suite,ContainsTest0 ContainsTest1+ ContainsTest2 EmptyTest0 EmptyTest2+ FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest0+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0+ RemoveTest3+ RemoveTest4+ RemoveTest7+ SizeTest0 SizeTest1 SizeTest2+ , ,EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest5 RemoveTest6 SizeTest3 , ,
7,Sat Nov 02 17:58:15 EDT 2019,77,10,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1+ EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0 RemoveTest1+ RemoveTest3 RemoveTest4 SizeTest0 SizeTest1 SizeTest2 , ,FindMinMaxTest2 InsertTest5 RemoveTest2 RemoveTest5 RemoveTest6 RemoveTest7- SizeTest3 , ,
8,Sat Nov 02 18:06:01 EDT 2019,67,-10,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0 RemoveTest3 RemoveTest4 RemoveTest7+ SizeTest0 SizeTest1 SizeTest2 , ,EmptyTest1- FindMinMaxTest2 InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest5 RemoveTest1- RemoveTest2 RemoveTest5 RemoveTest6 SizeTest3 , ,
9,Sat Nov 02 18:18:59 EDT 2019,74,7,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest2+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0 RemoveTest1+ RemoveTest3 RemoveTest4 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 , ,EmptyTest1 FindMinMaxTest2 InsertAfterRemoveTest1 InsertTest5 RemoveTest2 RemoveTest5 RemoveTest6 SizeTest3 , ,
10,Sat Nov 02 18:25:58 EDT 2019,90,16,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1+ EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2+ HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0 RemoveTest1 RemoveTest2+ RemoveTest3 RemoveTest4 RemoveTest5+ RemoveTest6+ RemoveTest7 SizeTest0 SizeTest1 SizeTest2 , ,InsertAfterRemoveTest1 InsertTest5 SizeTest3 , ,
11,Sat Nov 02 19:49:14 EDT 2019,96,6,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1+ InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5+ RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest2 SizeTest3+ , ,RemoveTest7- , ,
12,Sat Nov 02 19:50:43 EDT 2019,96,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest7 , ,
13,Sat Nov 02 19:56:59 EDT 2019,93,-3,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7+ SizeTest0 SizeTest1 SizeTest2 , ,InsertTest5- SizeTest3- , ,
